athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Shey Peddy,Fever,2025-09-30,22.0,13.0,2,2,0,0,0,5,9,3,5,0.0,0,False,away,0.5555555555555556,0.6,0.90625
Aerial Powers,Fever,2025-09-30,6.0,2.0,1,0,1,0,1,1,1,0,0,0.0,0,False,away,1.0,0.21999999999999997,0.6439393939393939
Bree Hall,Fever,2025-09-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.4,0.0,0.41666666666666663
NaLyssa Smith,Aces,2025-09-30,26.0,5.0,1,0,1,3,1,2,5,0,0,1.0,1,True,home,0.4,0.24,1.0
Kierstan Bell,Aces,2025-09-30,6.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3606741112422931,0.27337662337662344,0.75
A'ja Wilson,Aces,2025-09-30,41.0,35.0,8,5,4,4,1,13,27,1,1,8.0,10,True,home,0.48148148148148145,1.0,0.8
Chelsea Gray,Aces,2025-09-30,39.0,17.0,2,6,3,2,1,7,12,2,5,1.0,1,True,home,0.5833333333333334,0.4,1.0
Jackie Young,Aces,2025-09-30,44.0,32.0,4,10,1,0,0,10,20,4,11,8.0,8,True,home,0.5,0.36363636363636365,1.0
Kiah Stokes,Aces,2025-09-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-09-30,18.0,5.0,0,2,0,1,0,2,2,1,1,0.0,0,True,home,1.0,1.0,0.5166666666666667
Jewell Loyd,Aces,2025-09-30,32.0,8.0,6,1,0,0,0,2,7,2,4,2.0,2,True,home,0.2857142857142857,0.5,1.0
Dana Evans,Aces,2025-09-30,20.0,5.0,0,2,0,0,4,2,7,1,4,0.0,0,True,home,0.2857142857142857,0.25,0.8
Cheyenne Parker-Tyus,Aces,2025-09-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3714285714285714,0.4,0.8125
Aaliyah Nye,Aces,2025-09-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.298234126984127,0.24211711711711714,0.84375
Jessica Shepard,Lynx,2025-09-28,36.0,14.0,7,2,2,0,2,6,11,0,1,2.0,2,False,away,0.5454545454545454,0.0,1.0
Bridget Carleton,Lynx,2025-09-28,29.0,3.0,3,1,2,1,1,1,2,1,1,0.0,0,False,away,0.5,1.0,0.7678571428571429
Alanna Smith,Lynx,2025-09-28,27.0,8.0,8,1,1,2,1,4,6,0,1,0.0,0,False,away,0.6666666666666666,0.0,0.44868637110016424
Kayla McBride,Lynx,2025-09-28,38.0,31.0,4,2,1,1,0,10,23,6,11,5.0,5,False,away,0.43478260869565216,0.5454545454545454,1.0
Courtney Williams,Lynx,2025-09-28,33.0,20.0,3,6,2,0,0,9,22,2,6,0.0,0,False,away,0.4090909090909091,0.3333333333333333,0.8686666666666667
Maria Kliundikova,Lynx,2025-09-28,14.0,2.0,6,2,0,1,1,1,6,0,2,0.0,0,False,away,0.16666666666666666,0.0,0.5909090909090909
Anastasiia Olairi Kosu,Lynx,2025-09-28,3.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0,False,away,0.5088888888888888,0.0,0.5555555555555555
Natisha Hiedeman,Lynx,2025-09-28,21.0,3.0,2,4,0,1,1,1,7,0,2,1.0,2,False,away,0.14285714285714285,0.0,0.5
Napheesa Collier,Lynx,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5433032524143796,0.40886904761904763,0.9005231651064984
Camryn Taylor,Lynx,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.08333333333333333,0.25,0.0
DiJonai Carrington,Lynx,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3867909026999936,0.3255952380952381,0.8
Jaylyn Sherrod,Lynx,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.28541666666666665,0.23809523809523808,0.7666666666666666
Alyssa Thomas,Mercury,2025-09-28,37.0,23.0,8,10,1,0,6,11,18,0,0,1.0,3,True,home,0.6111111111111112,0.0,0.3333333333333333
Natasha Mack,Mercury,2025-09-28,11.0,4.0,5,1,0,1,1,1,4,0,0,2.0,2,True,home,0.25,0.0,1.0
